Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Mean,Median,StdDev
2019-10-22,0.9828,0.9801,0.9661,0.9661,0.946,0.946,0.9888,0.9011,0.9011,0.9888,0.9812,0.9812,0.943,-0.5106,-0.5106,-0.9463,-0.9463,0.523,0.9887,0.9887,0.9313,0.765,0.9201,,,,,,,,,,,,,,,,0.6380565217391304,0.9444999999999999,0.6306008066940214
2019-10-21,-0.2263,-0.9485,0.6908,0.2732,0.2732,0.9761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17308333333333328,0.2732,0.5805341945028761
2019-10-20,0.9936,0.9934,0.886,0.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9397500000000001,0.9397500000000001,0.048075503117492174
2019-10-18,-0.9538,0.9022,-0.9485,-0.9538,0.9022,-0.5267,0.9976,0.9976,-0.8979,-0.124,-0.124,0.9755,0.3818,0.985,-0.9178,-0.9178,0.9936,,,,,,,,,,,,,,,,,,,,,,0.04536470588235296,-0.03931764705882352,0.8220303851291374
2019-10-17,-0.4471,0.7624,0.7624,0.9022,0.9015,0.813,0.5106,0.5106,0.9015,0.813,0.988,0.9917,0.9917,0.9694,0.9843,0.2263,,,,,,,,,,,,,,,,,,,,,,,0.7238437499999999,0.813,0.3574686456211955
2019-10-16,-0.4939,0.9081,0.9843,-0.9299,-0.9299,-0.4939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15919999999999998,-0.4939,0.7518308870208589
2019-10-15,-0.0772,-0.0772,0.9879,0.9879,0.9956,0.9953,0.9956,0.9971,0.9962,0.9924,0.9953,0.9971,0.9477,0.9873,0.9873,,,,,,,,,,,,,,,,,,,,,,,,0.84722,0.99015,0.3529645559317786
2019-10-14,-0.999,0.9717,0.7184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2303666666666667,0.4743833333333334,0.7659519164992598
2019-10-13,-0.5167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5167,-0.5167,0.0
2019-10-12,-0.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9991,-0.9991,0.0
2019-10-11,-0.9984,0.9941,0.9941,0.9914,0.9716,0.9823,0.981,0.9524,-0.7579,0.6808,0.7675,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5962636363636363,0.962,0.6815478770696011
2019-10-10,-0.2263,-0.9973,0.9493,-0.9973,0.9493,0.802,-0.9643,0.9062,-0.9643,-0.9987,-0.9623,0.882,-0.1531,-0.969,0.9194,-0.969,0.9463,0.959,-0.9987,0.631,0.6124,0.9992,0.9636,0.9636,0.6633,-0.8225,-0.1531,-0.2533,,,,,,,,,,,0.06133571428571427,0.06133571428571427,0.8336639322124482
2019-10-09,-0.2533,-0.9841,0.8807,0.9461,0.7269,0.8555,0.8555,0.9821,0.8176,0.9896,0.9896,0.9873,0.9816,0.9816,0.9949,0.9601,-0.9881,0.9169,-0.9809,,,,,,,,,,,,,,,,,,,,0.5610315789473684,0.8988,0.7073914407497333
2019-10-08,-0.9768,-0.9881,0.975,0.975,0.991,0.991,0.4118,0.4118,0.5267,0.6369,0.9961,0.9961,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4955416666666667,0.6369,0.6722151446530575
2019-10-07,0.9758,0.9758,-0.9486,-0.999,-0.999,0.7506,-0.9904,0.5745,0.9756,-0.9486,-0.7854,-0.9866,-0.974,-0.2263,-0.2263,0.9756,0.5994,0.6486,,,,,,,,,,,,,,,,,,,,,-0.08934999999999996,-0.2263,0.8199294270778175
2019-10-06,0.9468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468,0.9468,0.0
2019-10-05,-0.6908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6908,-0.6908,0.0
2019-10-04,-0.9348,0.1779,0.3818,0.7266,0.9423,-0.9199,-0.9199,-0.9348,0.9575,0.3818,-0.8703,-0.1027,-0.2263,-0.4577,-0.974,-0.6362,0.9229,0.9229,-0.8097,0.9648,0.9423,0.3735,0.1027,0.2023,0.8988,0.8988,-0.892,-0.8047,-0.892,0.4472,-0.7469,-0.9751,0.9648,0.9572,,,,,0.002032352941176472,0.1027,0.7609571850217143
2019-10-03,0.9607,0.4763,0.4763,0.9135,0.9638,-0.9764,0.5267,0.5267,0.9652,0.9916,-0.7717,-0.7717,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35674999999999996,0.5267,0.693582664414541
2019-10-02,0.9882,0.9882,0.8774,0.8774,0.0276,0.0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6310666666666667,0.8774,0.4067094067118887
2019-10-01,-0.5982,-0.9978,0.9601,0.9545,0.9692,0.945,0.945,-0.932,-0.5982,-0.5982,-0.9022,0.7184,0.9821,0.9748,0.9748,-0.932,,,,,,,,,,,,,,,,,,,,,,,0.17908125,0.7184,0.8513408596303053
2019-09-30,-0.9814,0.9916,0.5816,0.5816,0.998,-0.5574,-0.1854,-0.898,-0.8464,0.9043,0.9708,0.9043,0.586,0.1779,0.6706,-0.2263,-0.3465,,,,,,,,,,,,,,,,,,,,,,0.19560588235294118,0.3886029411764706,0.6849831328091206
2019-09-27,0.9961,0.9961,0.9743,0.9743,-0.953,-0.953,-0.2263,0.8641,0.9884,-0.2263,0.9783,0.9884,-0.2382,,,,,,,,,,,,,,,,,,,,,,,,,,0.39716923076923066,0.9192,0.742573952551644
2019-09-26,-0.0,0.9818,-0.9022,-0.9022,0.9978,0.7308,0.0772,0.0772,0.3682,0.3682,0.9978,-0.4867,-0.9822,0.9723,0.9723,,,,,,,,,,,,,,,,,,,,,,,,0.21802000000000005,0.29311000000000004,0.6975334102729839
2019-09-25,0.9396,0.9396,-0.4215,-0.9822,-0.6652,-0.6652,0.9678,0.9678,0.9482,0.9482,0.9274,0.9274,0.1531,0.9322,0.8941,-0.9962,0.5499,0.5499,0.9322,0.9937,0.9937,,,,,,,,,,,,,,,,,,0.46830952380952384,0.9274,0.7043233860950826
